,date,confirmed_cases,confirmed_rate,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
145,2020-06-25,3602,37.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
146,2020-06-26,3641,37.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
147,2020-06-27,3676,24.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
148,2020-06-28,3690,16.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
149,2020-06-29,3709,26.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
150,2020-06-30,3742,35.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
151,2020-07-01,3780,45.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
152,2020-07-02,3833,52.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
153,2020-07-03,3885,44.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
154,2020-07-04,3922,34.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
155,2020-07-05,3953,26.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
156,2020-07-06,3974,25.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
157,2020-07-07,4004,36.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
158,2020-07-08,4046,35.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
159,2020-07-09,4074,37.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
160,2020-07-10,4120,39.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
161,2020-07-11,4153,28.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
162,2020-07-12,4177,23.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
163,2020-07-13,4200,35.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
164,2020-07-14,4247,40.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
165,2020-07-15,4281,35.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
166,2020-07-16,4317,36.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
167,2020-07-17,4353,33.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20249-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.49 (July 7, 2020)"
